Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-07-18,11.31,11.75,11.01,11.04,252336,USD,0.7400000000000002,0.27000000000000135,11.221428571428572,10.960000000000003,11.362857142857143,0.5690175325778006,0.768466933947976
2016-07-19,11.09,12.24,11.07,11.75,678517,USD,1.17,-0.6600000000000001,11.392857142857142,11.047142857142859,11.34047619047619,0.5108070178881514,0.7488489580047076
2016-07-20,11.7,13.04,11.55,12.48,1649729,USD,1.4899999999999984,-0.7800000000000011,11.680000000000001,11.185,11.326666666666666,0.46879277582599727,0.7234109021388244
2016-07-21,12.52,12.75,12.03,12.55,534748,USD,0.7200000000000006,-0.030000000000001137,11.815714285714284,11.357142857142858,11.32904761904762,0.568649193054806,0.7275362861184467
2016-07-22,12.67,15.15,12.53,14.67,1574951,USD,2.620000000000001,-2.0,12.207142857142857,11.597142857142858,11.439523809523811,1.224849845024736,1.011174941295885
2016-07-23,14.55,14.85,13.9,14.25,638425,USD,0.9499999999999993,0.3000000000000007,12.56857142857143,11.836428571428572,11.54,1.4155732475034966,1.1757040443921145
2016-07-24,14.33,14.44,12.17,12.65,1649498,USD,2.2699999999999996,1.6799999999999997,12.77,11.957857142857142,11.581428571428571,1.2897415761823412,1.1996678111639207
2016-07-25,12.86,13.8,12.75,13.8,742809,USD,1.0500000000000007,-0.9400000000000013,13.164285714285715,12.192857142857141,11.694761904761904,1.0770616996077242,1.2924845029926533
2016-07-26,13.55,13.86,11.91,12.01,1361910,USD,1.9499999999999993,1.540000000000001,13.20142857142857,12.297142857142857,11.765238095238095,1.0233023106822312,1.265873686619706
2016-07-27,12.01,13.28,11.78,13.03,377969,USD,1.5,-1.0199999999999996,13.28,12.48,11.883333333333333,0.9788258272031721,1.262510726027034
2016-07-28,12.93,13.0,12.54,12.87,300444,USD,0.46000000000000085,0.0600000000000005,13.325714285714286,12.570714285714287,12.013333333333334,0.9459714080044275,1.2136322891771252
2016-07-29,12.87,12.94,12.6,12.9,183460,USD,0.33999999999999986,-0.030000000000001137,13.072857142857144,12.639999999999999,12.08904761904762,0.7411413334786088,1.2171520232160908
2016-07-30,12.85,12.85,12.47,12.52,171500,USD,0.379999999999999,0.33000000000000007,12.825714285714286,12.697142857142856,12.166190476190476,0.5459199313347564,1.1890352231556212
2016-07-31,12.45,12.55,11.3,11.86,419360,USD,1.25,0.5899999999999999,12.712857142857143,12.741428571428571,12.209523809523809,0.6583746219722598,1.1586909691133083
2016-08-01,12.0,12.04,11.08,11.08,318871,USD,0.9599999999999991,0.9199999999999999,12.324285714285713,12.744285714285713,12.236666666666668,0.7104190580883999,1.1230152863310938
2016-08-02,11.04,11.2,9.9,10.16,882662,USD,1.299999999999999,0.879999999999999,12.059999999999999,12.630714285714285,12.218095238095238,1.0896941466913108,1.1550697773191738
2016-08-03,10.16,10.16,10.16,10.16,0,USD,0.0,0.0,11.650000000000002,12.465,12.203333333333333,1.198401713394401,1.1802344399877973
2016-08-04,10.16,10.16,10.16,10.16,0,USD,0.0,0.0,11.262857142857143,12.294285714285712,12.134761904761906,1.1761195274533585,1.2564140203277605
2016-08-05,10.16,10.16,10.16,10.16,0,USD,0.0,0.0,10.87142857142857,11.972142857142858,12.050476190476191,0.9800583073033219,1.328158409943911
2016-08-06,10.16,10.16,10.16,10.16,0,USD,0.0,0.0,10.534285714285714,11.680000000000001,11.976190476190476,0.6777132417882983,1.3897642828568944
2016-08-07,10.16,10.16,10.16,10.16,0,USD,0.0,0.0,10.29142857142857,11.502142857142857,11.924761904761905,0.3477273151684406,1.4375312833034857
2016-08-08,10.16,10.16,10.16,10.16,0,USD,0.0,0.0,10.16,11.242142857142857,11.882857142857143,0.0,1.4768992614838037
2016-08-09,10.16,10.16,10.16,10.16,0,USD,0.0,0.0,10.16,11.11,11.807142857142857,0.0,1.5240542734992755
2016-08-10,11.99,12.33,11.86,12.07,383912,USD,0.47000000000000064,-0.08000000000000007,10.432857142857143,11.04142857142857,11.78761904761905,0.721912143447601,1.517616238585705
2016-08-11,11.9,12.1,11.57,11.64,339857,USD,0.5299999999999994,0.2599999999999998,10.644285714285715,10.953571428571427,11.744285714285715,0.8363383912997612,1.5077187119239748
2016-08-12,11.71,11.99,11.57,11.67,254555,USD,0.41999999999999993,0.040000000000000924,10.86,10.865714285714287,11.60142857142857,0.8839871793941935,1.350582414050632
2016-08-13,11.69,11.76,11.4,11.48,138264,USD,0.35999999999999943,0.20999999999999908,11.04857142857143,10.791428571428572,11.469523809523809,0.8499103594189148,1.206563202615071
2016-08-14,11.48,11.67,11.0,11.16,188633,USD,0.6699999999999999,0.3200000000000003,11.191428571428572,10.741428571428573,11.39857142857143,0.7543303558218086,1.17712482649158
2016-08-15,11.16,11.28,10.88,11.09,140546,USD,0.3999999999999986,0.07000000000000028,11.324285714285717,10.742142857142857,11.26952380952381,0.6105968976571557,1.0414195897450442
2016-08-16,11.15,11.17,10.83,11.07,65954,USD,0.33999999999999986,0.08000000000000007,11.454285714285716,10.807142857142859,11.224761904761905,0.37143223441413564,1.0281177901758947
